Element,Grating/mm,0Degree,0minute,Degree,Minute
Hydrogen,100,-1,-5,4,49
Hydrogen,100,-1,-5,3,50
Hydrogen,100,-1,-5,3,23
Argon,100,-1,-5,4,30
Argon,100,-1,-5,4,14
Argon,100,-1,-5,3,59
Argon,100,-1,-5,3,35
Argon,100,-1,-5,3,28
Carbon Dioxide,100,-1,-5,4,41
Carbon Dioxide,100,-1,-5,4,32
Carbon Dioxide,100,-1,-5,4,11
Carbon Dioxide,100,-1,-5,3,50
Carbon Dioxide,100,-1,-5,3,31
Neon,100,-1,-5,4,32
Neon,100,-1,-5,4,27
Neon,100,-1,-5,4,10
Nitrogen,100,-1,-5,4,40
Nitrogen,100,-1,-5,4,28
Nitrogen,100,-1,-5,4,46
Nitrogen,100,-1,-5,3,55
Nitrogen,100,-1,-5,3,31
Helium,100,-1,-5,4,51
Helium,100,-1,-5,4,39
Helium,100,-1,-5,4,25
Helium,100,-1,-5,4,8
Helium,100,-1,-5,3,51
Helium,100,-1,-5,3,45
Helium,100,-1,-5,3,32
Helium,100,-1,-5,3,28
Mercury,100,-1,-5,4,22
Mercury,100,-1,-5,4,5
Mercury,100,-1,-5,3,31
Hydrogen,300,-1,-5,12,10
Hydrogen,300,-1,-5,9,15
Hydrogen,300,-1,-5,7,57
Argon,300,-1,-5,11,15
Argon,300,-1,-5,11,0
Argon,300,-1,-5,10,31
Argon,300,-1,-5,9,51
Argon,300,-1,-5,8,46
Argon,300,-1,-5,8,6
Carbon Dioxide,300,-1,-5,11,15
Carbon Dioxide,300,-1,-5,10,30
Carbon Dioxide,300,-1,-5,9,51
Carbon Dioxide,300,-1,-5,9,11
Carbon Dioxide,300,-1,-5,8,42
Neon,300,-1,-5,12,1
Neon,300,-1,-5,11,26
Neon,300,-1,-5,11,0
Nitrogen,300,-1,-5,12,15
Nitrogen,300,-1,-5,11,44
Nitrogen,300,-1,-5,9,28
Nitrogen,300,-1,-5,8,31
Helium,300,-1,-5,12,28
Helium,300,-1,-5,10,59
Helium,300,-1,-5,9,28
Helium,300,-1,-5,8,31
Mercury,300,-1,-5,10,4
Mercury,300,-1,-5,8,29
Mercury,300,-1,-5,10,57
Hydrogen,600,-1,-5,23,5
Hydrogen,600,-1,-5,16,41
Hydrogen,600,-1,-5,14,42
