object size (cm)	object distance (cm)	image distance (cm)	focal length (mm)	image size (cm)
110	132.15	1.85	18	1.7
110	132.3	1.7	18	1.6
	68.3	1.7	18	
110	129.6	4.4	48	3.4
	64.7	5.3	48	
	55	5	48	
	44.3	5.7	48	
110	124	10	100	10
	60	11.8	100	
	48.3	11.7	100	
	48.6	11.4	100	
	59	11	100	
110	120.4	13.6	127	10.5
	51.1	15.9	127	
	29.3	20.7	127	
	44.3	15.7	127	
110	109.4	24.6	200	20
	34.3	45.7	200	
	40.7	39.3	200	
110	102.5	31.5	250	25
	58.5	41.5	250	
	59.9	40.1	250	
110	104	30	252	32
	51	39	252	
	64.2	35.8	252	
6.9	37.6	12.4	100	2.3
6.9	48.4	11.6	100	1.7
6.9	58.7	11.3	100	1.3
6.9	69	11	100	1.05
6.9	38.9	41.1	200	7
6.9	59.3	30.7	200	3.5
6.9	72.4	27.6	200	2.9
6.9	28.6	21.4	127	5.4
6.9	43.4	16.6	127	2.7
6.9	53.5	16.5	127	2
6.9	64.4	15.6	127	1.7
